Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Learning_Rate,Time_Sec,RAM_Usage_Percent,VRAM_Usage_GB
16,1.6763,1.5208,0.9241,0.9504,0.00035,1067.75,92.0,0.67
17,1.39,1.5586,0.978,0.9467,0.00035,804.44,95.2,0.67
18,1.3792,1.5882,0.9804,0.9348,0.00035,717.88,92.8,0.67
19,1.3629,1.6249,0.9837,0.928,0.00035,914.08,88.9,0.67
20,1.3613,1.6349,0.9838,0.9249,3.5000000000000004e-05,836.84,94.1,0.67
21,1.2412,1.5124,0.9975,0.9606,3.5000000000000004e-05,732.02,93.7,0.67
22,1.1943,1.5173,0.9997,0.9647,3.5000000000000004e-05,719.18,90.1,0.67
23,1.1833,1.5253,0.9999,0.9626,3.5000000000000004e-05,713.64,92.3,0.67
24,1.1775,1.5251,0.9999,0.9691,3.5000000000000004e-05,737.69,90.9,0.67
25,1.1732,1.5246,1.0,0.9674,3.5000000000000004e-05,651.26,92.7,0.67
