Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Learning_Rate,Time_Sec,RAM_Usage_Percent,VRAM_Usage_GB
1,6.173,4.6622,0.0773,0.215,0.00035,518.5,87.1,0.66
2,3.4695,2.7862,0.4526,0.6121,0.00035,503.37,85.2,0.66
3,2.2832,2.2738,0.7463,0.752,0.00035,483.71,86.6,0.66
4,1.8939,2.0807,0.8552,0.805,0.00035,542.53,86.2,0.66
5,1.7061,1.9915,0.9074,0.8291,0.00035,526.34,84.4,0.66
6,1.6206,1.9208,0.9277,0.8356,0.00035,496.64,84.4,0.66
7,1.5456,1.8942,0.9487,0.859,0.00035,533.95,87.6,0.66
8,1.5108,1.9017,0.9568,0.859,0.00035,504.06,86.1,0.66
9,1.4746,1.8303,0.9634,0.8716,0.00035,504.5,85.3,0.66
10,1.4576,1.82,0.9675,0.8798,0.00035,521.29,86.3,0.66
11,1.4305,1.7969,0.9723,0.8849,0.00035,468.75,82.7,0.66
12,1.4265,1.7774,0.9736,0.8886,0.00035,525.64,86.4,0.66
13,1.4099,1.7988,0.9757,0.8821,0.00035,534.49,83.1,0.66
14,1.3974,1.7737,0.9785,0.893,0.00035,535.19,85.5,0.66
15,1.3871,1.7478,0.9805,0.9001,0.00035,489.26,86.1,0.66
